Cod,Acao,Tipo,Qtde Teórica,Part (%),
ABEV3,AMBEV S/A,ON,4358814864,3.135,
ALPA4,ALPARGATAS,PN      N1,167963777,0.414,
AMER3,AMERICANAS,ON      NM,546064815,0.993,
ASAI3,ASSAI,ON      NM,794116430,0.626,
AZUL4,AZUL,PN      N2,327741172,0.522,
B3SA3,B3,ON      NM,6079530858,3.710,
BBAS3,BRASIL,ON      NM,1420530937,1.797,
BBDC3,BRADESCO,ON  EJ  N1,1378842305,1.149,
BBDC4,BRADESCO,PN  EJ  N1,4691427537,4.518,
BBSE3,BBSEGURIDADE,ON      NM,671629692,0.560,
BEEF3,MINERVA,ON      NM,242962308,0.082,
BIDI11,BANCO INTER,UNT     N2,477617336,1.322,
BIDI4,BANCO INTER,PN      N2,186303277,0.164,
BPAC11,BTGP BANCO,UNT     N2,1301655996,1.551,
BPAN4,BANCO PAN,PN      N1,341124068,0.257,
BRAP4,BRADESPAR,PN      N1,222604507,0.605,
BRDT3,PETROBRAS BR,ON      NM,1164602565,1.296,
BRFS3,BRF SA,ON      NM,811759800,0.838,
BRKM5,BRASKEM,PNA     N1,264642296,0.768,
BRML3,BR MALLS PAR,ON      NM,843728684,0.317,
CASH3,MELIUZ,ON      NM,90581467,0.139,
CCRO3,CCR SA,ON      NM,1115693556,0.578,
CIEL3,CIELO,ON      NM,1144359228,0.129,
CMIG4,CEMIG,PN      N1,1114214662,0.659,
COGN3,COGNA ON,ON      NM,1847994874,0.244,
CPFE3,CPFL ENERGIA,ON  ED  NM,187732538,0.223,
CPLE6,COPEL,PNB     N1,1563365506,0.461,
CRFB3,CARREFOUR BR,ON      NM,410988561,0.327,
CSAN3,COSAN,ON      NM,1169237744,1.124,
CSNA3,SID NACIONAL,ON,642398790,0.971,
CVCB3,CVC BRASIL,ON      NM,224571661,0.196,
CYRE3,CYRELA REALT,ON      NM,281609283,0.231,
DXCO3,DEXCO,ON      NM,272062873,0.239,
ECOR3,ECORODOVIAS,ON      NM,339237914,0.144,
EGIE3,ENGIE BRASIL,ON      NM,255217329,0.436,
ELET3,ELETROBRAS,ON      N1,358028908,0.578,
ELET6,ELETROBRAS,PNB     N1,242987127,0.399,
EMBR3,EMBRAER,ON      NM,734558205,0.694,
ENBR3,ENERGIAS BR,ON      NM,231489471,0.184,
ENEV3,ENEVA,ON      NM,1261568398,0.870,
ENGI11,ENERGISA,UNT     N2,248542219,0.473,
EQTL3,EQUATORIAL,ON      NM,1010511085,1.126,
EZTC3,EZTEC,ON      NM,101618236,0.115,
FLRY3,FLEURY,ON      NM,303005900,0.313,
GGBR4,GERDAU,PN      N1,1097534498,1.305,
GNDI3,INTERMEDICA,ON      NM,592114608,2.101,
GOAU4,GERDAU MET,PN      N1,698275321,0.377,
GOLL4,GOL,PN      N2,167095214,0.138,
HAPV3,HAPVIDA,ON      NM,1306939210,0.845,
HGTX3,CIA HERING,ON      NM,117608748,0.186,
HYPE3,HYPERA,ON      NM,411803359,0.617,
IGTA3,IGUATEMI,ON      NM,85748277,0.121,
IRBR3,IRBBRASIL RE,ON      NM,1255286531,0.281,
ITSA4,ITAUSA,PN  ED  N1,4515559175,2.206,
ITUB4,ITAUUNIBANCO,PN  ED  N1,4780002924,6.181,
JBSS3,JBS,ON      NM,1346828080,1.819,
JHSF3,JHSF PART,ON      NM,305915142,0.083,
KLBN11,KLABIN S/A,UNT     N2,812994397,0.909,
LAME4,LOJAS AMERIC,PN      N1,853524256,0.223,
LCAM3,LOCAMERICA,ON      NM,324522975,0.344,
LREN3,LOJAS RENNER,ON      NM,889725318,1.434,
LWSA3,LOCAWEB,ON      NM,431783548,0.450,
MGLU3,MAGAZ LUIZA,ON      NM,2820185158,2.315,
MRFG3,MARFRIG,ON      NM,348234011,0.323,
MRVE3,MRV,ON      NM,294643879,0.169,
MULT3,MULTIPLAN,ON      N2,273506645,0.240,
NTCO3,GRUPO NATURA,ON      NM,843870809,1.859,
PCAR3,PACUCAR-CBD,ON      NM,156946474,0.185,
PETR3,PETROBRAS,ON      N2,3426385188,4.063,
PETR4,PETROBRAS,PN      N2,4566511125,5.222,
PETZ3,PETZ,ON      NM,258407844,0.299,
PRIO3,PETRORIO,ON      NM,839159130,0.662,
QUAL3,QUALICORP,ON      NM,283670037,0.277,
RADL3,RAIADROGASIL,ON      NM,1071076905,1.214,
RAIL3,RUMO SA,ON      NM,1216056103,1.003,
RDOR3,REDE D OR,ON      NM,320214380,0.953,
RENT3,LOCALIZA,ON      NM,593944309,1.413,
SANB11,SANTANDER BR,UNT,362703399,0.613,
SBSP3,SABESP,ON      NM,340001934,0.526,
SULA11,SUL AMERICA,UNT     N2,284771028,0.348,
SUZB3,SUZANO SA,ON      NM,726779281,1.948,
TAEE11,TAESA,UNT     N2,218568234,0.356,
TIMS3,TIM,ON      NM,808619532,0.418,
TOTS3,TOTVS,ON      NM,480960677,0.818,
UGPA3,ULTRAPAR,ON      NM,1084337016,0.695,
USIM5,USIMINAS,PNA EDJ N1,514680651,0.364,
VALE3,VALE,ON      NM,3380233503,14.478,
VIIA3,VIA,ON      NM,1595895585,0.667,
VIVT3,TELEF BRASIL,ON,443933052,0.812,
WEGE3,WEG,ON      NM,1484859030,2.338,
YDUQ3,YDUQS PART,ON      NM,300833122,0.325,
